Word,Reading,Meaning (JP / EN / CN),Example Sentence
気心,Kigokoro,"(JP) 本来の性質、気質 (EN) Temperament (CN) 脾气，性情",彼とは気心が知れた仲だ。
気長,Kinaga,"(JP) のんびりと焦らない (EN) Patiently (CN) 耐心，不急",結果が出るのを気長に待つ。
出産,Shussan,"(JP) 子を産むこと (EN) Childbirth (CN) 生孩子，分娩",姉が無事に出産した。
下味,Shita-aji,"(JP) 調理前の味付け (EN) Seasoning (before cooking) (CN) (烹饪前的) 调味",肉に塩コショウで下味をつける。
下地,Shitaji,"(JP) 化粧や塗装の土台 (EN) Foundation, Primer (CN) 底妆，底色",化粧の下地を塗る。
下地,Shitaji,"(JP) 物事を習得する素地 (EN) Groundwork (CN) 基础，底子",彼は語学の下地がある。
下火,Shitabi,"(JP) 勢いが弱まる (EN) Waning (CN) 火势减弱，衰退",インフルエンザの流行が下火になった。
上向く,Uwamuku,"(JP) 状態が良くなる (EN) To look up, To improve (CN) 向上，好转",景気が上向いてきた。
上回り,Uwamawari,"(JP) 基準や数値を越える (EN) Exceeding (CN) 超过，超出",予想を上回る結果が出た。
下回り,Shitamawari,"(JP) 基準や数値を割る (EN) Falling below (CN) 低于，跌破",平均点を下回る成績だった。
上の空,Uwanosora,"(JP) 心が奪われて集中できない (EN) Absent-minded (CN) 心不在焉",彼は上の空で話を聞いていた。
